user_id,b_id,rating,review
885261,11588,2,"
  "
885261,11590,3,"
  "
885261,1609448,3,"
  "
885261,76030,4,"
  "
885261,55386,3,"
  "
885261,35503,3,"
  "
885261,5759,2,"
  "
885261,29744,5,"
  "
885261,242006,4,"
  "
885261,43945,0,"
  "
2301018,1964791,0,"
  "
2301018,14497,0,"
  "
2301018,1633,0,"
  "
2301018,2029927,0,"
  "
2301018,14996,0,"
  "
2301018,16433,0,"
  "
2301018,14995,0,"
  "
2301018,375802,0,"
  "
2301018,7967,0,"
  "
2301018,112537,0,"
  "
2301018,197277,0,"
  "
2301018,3128411,0,"
  "
2301018,125955,0,"
  "
2301018,125956,0,"
  "
2301018,456028,0,"
  "
2301018,45252,0,"
  "
2301018,88071,0,"
  "
2301018,6002005,0,"
  "
2301018,2029932,0,"
  "
1983804,1319,2,"
  "
1983804,4437831,2,"
  "
1983804,157993,3,"
  "
1983804,6288,3,"
  "
1983804,7763,3,"
  "
1983804,906943,3,"
  "
1983804,320,0,"
  "
1983804,6867,0,"
  "
1983804,43603,0,"
  "
1983804,432,0,"
  "
1983804,138239,0,"
  "
1983804,11275,0,"
  "
1983804,71490,0,"
  "
1983804,4952,0,"
  "
1983804,1319,2,"
  "
1983804,4437831,2,"
  "
1983804,157993,3,"
  "
1983804,6288,3,"
  "
1983804,7763,3,"
  "
1983804,906943,3,"
  "
1765216,15783514,4,"
      This book is evocative and imaginative and I stayed up till 3 to finish it (yawn). But it's also lacking in any real character nuance or complexity - it's a good witches versus bad demons kind of affair. But I accepted its limitations and let it transport me into a far away place were spirits are...
  "
1765216,15994204,5,"
  "
1765216,13748038,5,"
  "
1765216,13119511,5,"
  "
1765216,9673436,4,"
  "
1765216,2666,4,"
  "
1765216,6997364,3,"
  "
1765216,4667024,5,"
      Yes, it's a total book club/beach book that I actually did finish at the beach today. But it's just really really hard to put down! The formula is simplistic and characters are pretty much good or evil, but it's also really suspenseful and absorbing. I'm sad I finished it so fast!<br />
  "
1765216,2180222,4,"
  "
1765216,7012577,3,"
  "
1765216,112525,5,"
  "
1765216,204286,3,"
  "
1765216,763679,3,"
  "
1765216,1768603,4,"
  "
1765216,6480781,3,"
  "
1765216,4657432,0,"
  "
1765216,225582,5,"
      Absolutely amazing memoir of his life as a young blind boy learning his way in India. I want to read more by Ved Mehta.
  "
1765216,1033128,4,"
      Absorbing in that totally soap opera way, reminds me of Box Office Poison. The drawings really capture the characters and emotional twists of a single man's melodrama.
  "
1765216,5849,5,"
      Every sentence reads like butter.<br />
  "
1765216,2075129,3,"
  "
1765216,9791,4,"
  "
1765216,1898,4,"
  "
1765216,7603,3,"
  "
1765216,77203,2,"
  "
1765216,33917,3,"
  "
1765216,3805,3,"
  "
1765216,170453,1,"
  "
1765216,1241,2,"
  "
1765216,88061,4,"
  "
1765216,529172,2,"
  "
1765216,4364,3,"
  "
1765216,78482,4,"
  "
1765216,150857,4,"
  "
1765216,11297,3,"
  "
1765216,318031,1,"
  "
1765216,1642446,4,"
  "
1765216,41913,4,"
  "
1765216,827458,3,"
  "
1765216,147647,2,"
  "
1765216,25374,3,"
  "
1765216,18957,4,"
  "
1765216,9717,2,"
  "
1765216,3711,3,"
      This book reads like many best sellers in that the characters speak and act in completely unrealistic ways. Overly dramatic. Descriptions that sound like dating profiles. Charicatures. And yet... charicatures can make page-turning characters. The action ain't subtle but it's absorbing. So, yeah,...
  "
1765216,378581,4,"
  "
1765216,11741,0,"
  "
1765216,7779696,5,"
  "
1765216,7970416,0,"
  "
1765216,2875137,0,"
  "
1765216,20578350,0,"
  "
1765216,22747803,0,"
  "
1765216,13271106,0,"
  "
1765216,18892071,0,"
  "
1765216,18693910,0,"
  "
1765216,18428067,0,"
  "
1765216,23995336,0,"
  "
1765216,20995,0,"
  "
1765216,724205,0,"
  "
1765216,24800,0,"
  "
1765216,88385,0,"
  "
1765216,72876,0,"
  "
1765216,102359,0,"
  "
1765216,3974,0,"
  "
1765216,5759088,0,"
  "
1765216,57642,0,"
  "
1765216,4538,0,"
  "
1765216,90872,0,"
  "
515609,32501,5,"
  "
515609,1827659,5,"
  "
515609,1797265,5,"
  "
515609,540985,5,"
  "
515609,1246476,5,"
  "
515609,421918,5,"
  "
515609,1246475,5,"
  "
515609,563696,5,"
  "
515609,85379,5,"
  "
515609,320167,5,"
  "
515609,232145,5,"
  "
515609,123598,5,"
  "
515609,6541,5,"
  "
515609,6531,5,"
  "
515609,232123,5,"
  "
515609,132336,5,"
  "
515609,6534,5,"
  "
515609,6537,5,"
  "
515609,6539,5,"
  "
515609,262229,5,"
  "
515609,643962,5,"
  "
515609,142079,5,"
  "
515609,64862,5,"
  "
515609,64864,5,"
  "
515609,262228,5,"
  "
515609,380975,5,"
  "
515609,380976,5,"
  "
515609,64854,5,"
  "
515609,89165,5,"
  "
515609,643974,5,"
  "
515609,102525,5,"
  "
515609,257990,5,"
  "
515609,169211,5,"
  "
515609,64860,5,"
  "
515609,64857,5,"
  "
515609,89656,5,"
  "
515609,64865,5,"
  "
515609,64863,5,"
  "
515609,2013428,5,"
  "
